以下被三个反引号包含的是一篇新闻：
```
登录还没账号？立即注册点击头像快速登录长江日报大武汉客户端4月1日讯（记者杨娟娟　通讯员章晟）4月1日上午，在武汉市中心医院造血干细胞采集室，23岁的唐富贵（化名）和20岁的晓锋（化名）共赴生命之约，为华东地区两名“80后”血液病患者点燃生命希望，由此成为湖北省第637例、638例造血干细胞捐献者。他们一致表示，“能配型成功是我们的幸运，这是我们年轻人应有的担当！”23岁的唐富贵（右）和20岁的晓锋（左）同天捐髓救人。唐富贵：“机会可遇而不可求，年轻人应有这个担当”2019年，唐富贵投身军旅，圆了儿时的梦想。两年后，他退役回到湖北，就读于湖北汽车工业学院。无偿献血，是唐富贵多年来一直坚持的一件事。2022年，他在一次献血的过程中，了解到很多血液病患者亟待造血干细胞救命，便毫不犹豫登记加入中华骨髓库，成为一名造血干细胞捐献志愿者。非血缘关系之间造血干细胞适配概率只有万分之一甚至百万分之一，尽管怀揣着救人的朴素心愿，唐富贵对配型成功却不敢抱太大期望，“想要在茫茫人海中找到与自己契合的‘他/她’，成功概率太小了！”令他感到意外的是，今年3月，“百万分之一的缘分”便悄然而至，唐富贵接到红十字会工作人员电话，得知自己与一名患者HLA（人类白细胞抗原）初配成功，当即同意进一步做高分辨检测。3月27日，唐富贵顺利通过高分辨配型，住进武汉市中心医院，进行捐献前的各项准备。“这是生命的呼唤，机会可遇而不可求，年轻人应有这个担当！”唐富贵告诉记者，父母很支持他的决定，但为了不让父母担心，他隐瞒了正式采集的日期，准备完成捐献再告诉二老。当天，经过4个多小时的采集，唐富贵成功捐献282毫升造血干细胞。采集完毕，他如释重负地说，自己身体没有任何不舒服，唯愿这些造血干细胞能发挥作用，成功挽救患者的生命。23岁的唐富贵。晓锋：“救死扶伤是医学生的职责，能够挽救生命无比自豪”“只要想到这个世界上会有一个人因为我重获新生，便感到价值感满满。”4月1日，晓锋成功捐献275毫升造血干细胞后坦言。晓锋是一名大学三年级医学生。2022年，他在一场学校组织的无偿献血活动中了解到造血干细胞捐献，看到了一个为血液病患者提供帮助的机会，当即留下血样，登记成为中华骨髓库志愿者。得知初配型成功的消息时，晓锋正在上课。他坦言作为一名医学生，自己深知对于血液病患者而言，造血干细胞移植是目前最有效的治疗途径之一。然而，非血缘关系之间的造血干细胞配型概率极低，从初配型成功到高分辨检测和体检，每跨过一步都是生命的奇迹。“没想到入库不到两年，就有机会挽救一条生命，我感到非常荣幸！”晓锋立即与家人分享了这个消息。起初，家人担心此举会影响晓锋的身体健康，但晓峰为他们详细讲解了造血干细胞捐献相关知识，最终赢得了家人的理解与支持。“既然选择学医，救死扶伤就是自己应尽的职责。在还没有正式进入工作岗位时，就能用这种特别的方式挽救一个生命，自己感到无比自豪。”晓锋希望通过自己的经历告诉大家，捐献造血干细胞非常安全，还能够帮助一名患者、一个家庭重燃希望，他呼吁更多人加入造血干细胞捐献队伍中来，向血液病患者伸出援手。20岁的晓锋。【编辑：余丽娜】关注我们微信公众号手机客户端
        * 出境游
        * 国内游
        * 自驾游
        * 旅游攻略
        * 自由行
        * 一日游
    * 节日
        * 春节
        * 元宵节
        * 情人节
        * 妇女节
        * 清明节
        * 劳动节
        * 端午节
        * 七夕
        * 中秋节
        * 重阳节
        * 国庆节
        * 万圣节
        * 圣诞节
        * 元旦
    * 艺术
        * 书法
        * 乐器
        * 摄影
        * 收藏
        * 曲艺
        * 绘画
        * 舞蹈
        * 设计
        * 雕塑
    * 文化场馆
        * 图书馆
        * 博物馆
        * 档案馆
        * 艺术馆
        * 文化馆
        * 纪念馆
* 休闲娱乐
    * 时尚
    * 影视
        * 明星
        * 电影
        * 电视剧
        * 综艺
        * 晚会
        * 演出
        * 动漫
        * 纪录片
    * 音乐
    * 美食
    * 游戏
        * 电竞
    * 彩票
    * 健身
    * 颜值
    * 搞笑
    * 命理
    * 情感
        * 两性
    * 宠物
    * 小说
* 健康
    * 医疗
        * 预防接种
        * 疫病预防
        * 食品安全
        * 健康保健
        * 疾病
        * 药品
    * 心理
    * 育儿
    * 医美
* 其他

```
这篇新闻涵盖了多个内容，请只对文字描述最多的内容进行分析：
1. 对新闻按照新闻类别表进行分类
2. 只返回文字最多领域的分类
3. 返回格式：'['一级分类', '二级分类', '三级分类']
4. 其中无法分类的级别设为空字符串，如果新闻为空就返回[]。
